score,SMILES,Name,idx,cycle
0.955,NC[C@H](O)c1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_2034711,17,8
0.954,CC(=O)Nc1ccc2nc(C(O)O)n(CCN3CCNC3=O)c(=O)c2c1,4640612_164791_6660936,17,8
0.952,Cn1nnc([C@H](O)Cn2c(C(O)O)nc3cc4c(cc3c2=O)OCO4)n1,3888941_1225225_6660936,17,8
0.952,C[C@@H](O)[C@H](O)c1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_1695855,17,8
0.951,O=c1c2cn3ncnc3nc2nc([C@@H](O)CCO)n1[C@@H]1C[C@@H](O)[C@@H](O)C1,211735994_146501451_2559503,17,8
0.95,COC(=O)CNC(=O)Cn1c(C(O)O)nc2c(C(=O)O)cccc2c1=O,153908_2168344_6660936,17,8
0.95,N#Cc1cc2c(=O)n(C(=O)CN3CCOCC3)c(C(O)O)nc2[nH]c1=O,3888503_20436848_6660936,17,8
0.949,COC(=O)CNC(=O)Cn1c(C(O)O)nc2ncncc2c1=O,967326_2168344_6660936,17,8
0.948,O=c1c2cc3c(cc2nc([C@H](O)[C@@H](O)CO)n1C1CN(CCO)C1)OCO3,3888941_82601602_901061,17,8
0.948,COC(=O)CNC(=O)Cn1c(C(O)O)nc2cc(OC)ccc2c1=O,1604577_2168344_6660936,17,8
0.947,NC(=O)N[C@H](CO)c1nc2ccc3cn[nH]c3c2c(=O)n1CCN1CCNC1=O,112588_164791_2522564,17,8
0.947,O=C(CO)n1c([C@@H](O)CCO)nc2cc3c(cc2c1=O)OCO3,3888941_4692578_2559503,17,8
0.947,CC(=O)Nc1ccc2nc([C@@H](O)CCO)n(-c3ncn(CCO)n3)c(=O)c2c1,4640612_19088805_2559503,17,8
0.947,O=c1c2cc3c(cc2nc(C(O)O)n1CCNC1COC1)OCO3,3888941_82488584_6660936,17,8
0.947,Cn1nnc([C@H](O)Cn2c(C(O)O)nc3nc4ncnn4cc3c2=O)n1,211735994_1225225_6660936,17,8
0.946,CC(=O)Nc1ccc2nc([C@@H](O)CCO)n(C3CN(CCO)C3)c(=O)c2c1,4640612_82601602_2559503,17,8
0.946,COC(=O)CNC(=O)Cn1c(C(O)O)nc2c(OC)cccc2c1=O,389612_2168344_6660936,17,8
0.945,CC(=O)Nc1ccc2nc(CNC(N)=O)n(CCN3CCNC3=O)c(=O)c2c1,4640612_164791_1464311,17,8
0.945,COC(=O)c1ccc2nc(C(O)O)n(CCN3CCNC3=O)c(=O)c2c1,14985552_164791_6660936,17,8
0.945,CNC(=S)NC(=N)n1c([C@@H](O)CCO)nc2ccc(C(=O)OC)cc2c1=O,14985552_33691246_2559503,17,8
0.945,COC(=O)CNC(=O)Cn1c(C(O)O)nc2cncnc2c1=O,11804330_2168344_6660936,17,8
0.944,COC(=O)CNC(=O)Cn1c(C(O)O)nc2nnccc2c1=O,4202687_2168344_6660936,17,8
0.944,COC(=O)CNC(=O)Cn1c(C(O)O)nc2nscc2c1=O,22861807_2168344_6660936,17,8
0.944,COc1ccc2nc([C@@H](O)CCO)n(C(=O)NCCO)c(=O)c2c1,1715572_1587868_2559503,17,8
0.944,COC(=O)CNC(=O)Cn1c(C(O)O)nc2cnc(C)cc2c1=O,39066258_2168344_6660936,17,8
0.944,COC(=O)c1ccc2nc(C(O)O)n(CCNC3COC3)c(=O)c2c1,14985552_82488584_6660936,17,8
0.943,COC(=O)CNC(=O)Cn1c(C(O)O)nc2ncc(C)cc2c1=O,26441149_2168344_6660936,17,8
0.943,COC(=O)CNC(=O)Cn1c(C(O)O)nc2ncc(OC)nc2c1=O,95757573_2168344_6660936,17,8
0.943,COC(=O)CNC(=O)Cn1c(C(O)O)nc2nccnc2c1=O,967253_2168344_6660936,17,8
0.942,NC[C@H](O)c1nc2ccc3cn[nH]c3c2c(=O)n1C(=O)CN1CCOCC1,112588_20436848_2034711,17,8
0.942,O=C(O)[C@H](CO)NC(=O)n1c([C@@H](O)CCO)nc2nc3ncnn3cc2c1=O,211735994_2626461_2559503,17,8
0.942,COC(=O)CNC(=O)Cn1c(C(O)O)nc2ccnnc2c1=O,19854095_2168344_6660936,17,8
0.942,O=CNCc1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_1733657,17,8
0.941,CS(=O)(=O)CC(=O)n1c(C(O)O)nc2cc3c(cc2c1=O)OCO3,3888941_2165154_6660936,17,8
0.941,COC(=O)CNC(=O)Cn1c(C(O)O)nc2c(=O)[nH]c(=O)[nH]c2c1=O,1861052_2168344_6660936,17,8
0.94,O=C([C@@H]1CNCCO1)n1c(C(O)O)nc2cc3c(cc2c1=O)OCO3,3888941_19686020_6660936,17,8
0.94,Cn1nnc([C@H](O)Cn2c(C(O)O)nc3c(C(=O)O)cccc3c2=O)n1,153908_1225225_6660936,17,8
0.94,COc1cccc2c(=O)n(C[C@@H](O)c3nnn(C)n3)c(C(O)O)nc12,389612_1225225_6660936,17,8
0.94,COC(=O)CNC(=O)Cn1c(C(O)O)nc2ccccc2c1=O,47985_2168344_6660936,17,8
0.939,O=CNCc1nc2ccc3cn[nH]c3c2c(=O)n1C(=O)CN1CCOCC1,112588_20436848_1733657,17,8
0.939,O=C([C@H]1CCN1)n1c([C@H](O)[C@@H](O)CO)nc2cc3c(cc2c1=O)OCO3,3888941_13375224_901061,17,8
0.939,CC(=O)Nc1ccc2nc([C@@H](CO)NC(C)=O)n(CCN3CCNC3=O)c(=O)c2c1,4640612_164791_158174,17,8
0.939,COc1ccc2nc([C@@H](O)CCO)n(CC3(O)COC3)c(=O)c2c1,1715572_74938389_2559503,17,8
0.939,N#Cc1cc2c(=O)n(C3CN(CCO)C3)c([C@@H](O)CCO)nc2[nH]c1=O,3888503_82601602_2559503,17,8
0.938,COC(=O)c1ccc2nc([C@@H](O)CCO)n(CCN3CCNC3=O)c(=O)c2c1,14985552_164791_2559503,17,8
0.938,COC(=O)CNC(=O)Cn1c(C(O)O)nc2cc(OC)ncc2c1=O,95635282_2168344_6660936,17,8
0.938,O=c1c2cc3c(cc2nc(C(O)O)n1-c1ncn(CCO)n1)OCO3,3888941_19088805_6660936,17,8
0.938,COC(=O)CNC(=O)Cn1c(C(O)O)nc2cn(C)nc2c1=O,2534276_2168344_6660936,17,8
0.938,N=C(NCCO)n1c(C(O)O)nc2cc3c(cc2c1=O)OCO3,3888941_1652056_6660936,17,8
0.937,O=C(NCCO)n1c([C@@H](O)CCO)nc2ccc3cn[nH]c3c2c1=O,112588_1587868_2559503,17,8
0.937,N#Cc1cc2c(=O)n(C(=O)NCCO)c([C@@H](O)CCO)nc2[nH]c1=O,3888503_1587868_2559503,17,8
0.937,COC(=O)CNC(=O)Cn1c(C(O)O)nc2cc(N)ncc2c1=O,39066342_2168344_6660936,17,8
0.937,N=C(CN1CC[C@H](O)C1)n1c([C@@H](O)CN)nc2cc3c(cc2c1=O)OCO3,3888941_203414649_2034711,17,8
0.936,O=C(CN1CCOCC1)n1c([C@@H](O)CCO)nc2cc3c(cc2c1=O)OCO3,3888941_20436848_2559503,17,8
0.936,O=c1c2cc3c(cc2nc(C(O)O)n1CC[C@@H](O)CO)OCO3,3888941_34273814_6660936,17,8
0.936,Cn1nnc([C@H](O)Cn2c([C@@H](O)CCO)nc3ccc4cn[nH]c4c3c2=O)n1,112588_1225225_2559503,17,8
0.936,COC(=O)C(C(=O)OC)n1c([C@@H](O)CCO)nc2cc3c(cc2c1=O)OCO3,3888941_36532919_2559503,17,8
0.936,COC(=O)CNC(=O)Cn1c(C(O)O)nc2c(cnn2C)c1=O,19850925_2168344_6660936,17,8
0.936,O=c1c2cn3ncnc3nc2nc([C@@H](O)CCO)n1[C@@H]1COC[C@H]1O,211735994_12957829_2559503,17,8
0.936,NC[C@H](O)c1nc2ccc3cn[nH]c3c2c(=O)n1CCN1CCNC1=O,112588_164791_2034711,17,8
0.936,COC(=O)CNC(=O)Cn1c(C(O)O)nc2nn(C)cc2c1=O,35937644_2168344_6660936,17,8
0.936,CC(=O)Nc1ccc2nc([C@@H](O)CCO)n(CC3(O)COC3)c(=O)c2c1,4640612_74938389_2559503,17,8
0.936,O=c1c2cn3ncnc3nc2nc([C@@H](O)CCO)n1[C@@H]1CC[C@@H](O)[C@@H]1O,211735994_34071169_2559503,17,8
0.936,N=C(CN1CC[C@H](O)C1)n1c(C(O)O)nc2ccc3cn[nH]c3c2c1=O,112588_203414649_6660936,17,8
0.936,O=c1c2cc3c(cc2nc([C@H](O)[C@@H](O)CO)n1[C@@H]1C[C@@H](O)[C@@H](O)C1)OCO3,3888941_146501451_901061,17,8
0.994,O=C1NCCN1CCn1c(C(O)O)nc2ccc3cn[nH]c3c2c1=O,112588_164791_6660936,17,9
0.99,O=C1NCCN1CCn1c([C@@H](O)CCO)nc2ccc3cn[nH]c3c2c1=O,112588_164791_2559503,17,9
0.988,O=CNCc1nc2ccc3cn[nH]c3c2c(=O)n1CCN1CCNC1=O,112588_164791_1733657,17,9
0.987,O=C(NCCO)n1c([C@@H](O)CCO)nc2cc3c(cc2c1=O)OCO3,3888941_1587868_2559503,17,9
0.982,O=c1c2cc3c(cc2nc([C@@H](O)CCO)n1C1CN(CCO)C1)OCO3,3888941_82601602_2559503,17,9
0.98,O=C(CN1CCOCC1)n1c(C(O)O)nc2cc3c(cc2c1=O)OCO3,3888941_20436848_6660936,17,9
0.98,COC(=O)c1ccc2nc([C@@H](O)CCO)n(C3CN(CCO)C3)c(=O)c2c1,14985552_82601602_2559503,17,9
0.979,N=C(CN1CC[C@H](O)C1)n1c(C(O)O)nc2cc3c(cc2c1=O)OCO3,3888941_203414649_6660936,17,9
0.978,COC(=O)c1ccc2nc([C@@H](O)CCO)n(-c3ncn(CCO)n3)c(=O)c2c1,14985552_19088805_2559503,17,9
0.978,O=c1c2cc3c(cc2nc([C@@H](O)CCO)n1[C@@H]1C[C@@H](O)[C@@H](O)C1)OCO3,3888941_146501451_2559503,17,9
0.972,COC(=O)c1ccc2nc([C@@H](O)CCO)n(C(=O)CS(C)(=O)=O)c(=O)c2c1,14985552_2165154_2559503,17,9
0.97,CC(=O)Nc1ccc2nc(CNC=O)n(CCN3CCNC3=O)c(=O)c2c1,4640612_164791_1733657,17,9
0.969,COC(=O)CNC(=O)Cn1c(C(O)O)nc2ccc(OC)cc2c1=O,1715572_2168344_6660936,17,9
0.965,COC(=O)CNC(=O)Cn1c(C(O)O)nc2ccncc2c1=O,333065_2168344_6660936,17,9
0.964,COC(=O)CNC(=O)Cn1c(C(O)O)nc2cccnc2c1=O,330903_2168344_6660936,17,9
0.964,COC(=O)CNC(=O)Cn1c(C(O)O)nc2cc(F)ncc2c1=O,95707580_2168344_6660936,17,9
0.964,COC(=O)CNC(=O)Cn1c(C(O)O)nc2cc(C)ncc2c1=O,34337536_2168344_6660936,17,9
0.964,O=C(NCCO)n1c([C@@H](O)CCO)nc2nc3ncnn3cc2c1=O,211735994_1587868_2559503,17,9
0.963,COC(=O)CNC(=O)Cn1c(C(O)O)nc2cnccc2c1=O,165882_2168344_6660936,17,9
0.962,COC(=O)c1ccc2nc(C(O)O)n(C(=O)CN3CCOCC3)c(=O)c2c1,14985552_20436848_6660936,17,9
0.962,NC(=O)NCc1nc2ccc3cn[nH]c3c2c(=O)n1CCN1CCNC1=O,112588_164791_1464311,17,9
0.962,O=c1c2cn3ncnc3nc2nc([C@@H](O)CCO)n1C1CN(CCO)C1,211735994_82601602_2559503,17,9
0.961,CC(=O)N[C@H](CO)c1nc2ccc3cn[nH]c3c2c(=O)n1CCN1CCNC1=O,112588_164791_158174,17,9
0.961,O=c1c2cc3c(cc2nc([C@@H](O)CCO)n1[C@@H]1CC[C@@H](O)[C@@H]1O)OCO3,3888941_34071169_2559503,17,9
0.961,O=C(O)[C@H](CO)NC(=O)n1c([C@@H](O)CCO)nc2cc3c(cc2c1=O)OCO3,3888941_2626461_2559503,17,9
0.961,O=C(CN1CCOCC1)n1c(C(O)O)nc2ccc3cn[nH]c3c2c1=O,112588_20436848_6660936,17,9
0.961,O=c1c2cc3c(cc2nc([C@@H](O)CCO)n1[C@@H]1COC[C@H]1O)OCO3,3888941_12957829_2559503,17,9
0.961,COC(=O)CNC(=O)Cn1c(C(O)O)nc2cc(C)c(O)cc2c1=O,96028999_2168344_6660936,17,9
0.959,O=C(CN1CCOCC1)n1c(C(O)O)nc2nc3ncnn3cc2c1=O,211735994_20436848_6660936,17,9
0.959,O=c1c2c(ccc3cn[nH]c32)nc([C@@H](O)CCO)n1C1CN(CCO)C1,112588_82601602_2559503,17,9
0.958,COC(=O)CNC(=O)Cn1c(C(O)O)nc2ncccc2c1=O,331646_2168344_6660936,17,9
0.958,N=C(CN1CC[C@H](O)C1)n1c(C(O)O)nc2nc3ncnn3cc2c1=O,211735994_203414649_6660936,17,9
0.958,C[C@@H](O)[C@@H](O)c1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_1695857,17,9
0.958,CC(=O)Nc1ccc2nc([C@@H](O)CCO)n(CCN3CCNC3=O)c(=O)c2c1,4640612_164791_2559503,17,9
0.955,COC(=O)CNC(=O)Cn1c(C(O)O)nc2ccc3cn[nH]c3c2c1=O,112588_2168344_6660936,17,9
0.955,NC[C@H](O)c1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_2034711,17,9
0.955,O=c1c2cc3c(cc2nc([C@@H](O)CCO)n1[C@H]1COC[C@@H]1O)OCO3,3888941_12957834_2559503,17,9
0.954,CC(=O)Nc1ccc2nc(C(O)O)n(CCN3CCNC3=O)c(=O)c2c1,4640612_164791_6660936,17,9
0.952,Cn1nnc([C@H](O)Cn2c(C(O)O)nc3cc4c(cc3c2=O)OCO4)n1,3888941_1225225_6660936,17,9
0.952,C[C@@H](O)[C@H](O)c1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_1695855,17,9
0.951,O=c1c2cn3ncnc3nc2nc([C@@H](O)CCO)n1[C@@H]1C[C@@H](O)[C@@H](O)C1,211735994_146501451_2559503,17,9
0.95,N#Cc1cc2c(=O)n(C(=O)CN3CCOCC3)c(C(O)O)nc2[nH]c1=O,3888503_20436848_6660936,17,9
0.95,COC(=O)CNC(=O)Cn1c(C(O)O)nc2c(C(=O)O)cccc2c1=O,153908_2168344_6660936,17,9
0.949,COC(=O)CNC(=O)Cn1c(C(O)O)nc2ncncc2c1=O,967326_2168344_6660936,17,9
0.948,O=c1c2cc3c(cc2nc([C@H](O)[C@@H](O)CO)n1C1CN(CCO)C1)OCO3,3888941_82601602_901061,17,9
0.948,COC(=O)CNC(=O)Cn1c(C(O)O)nc2cc(OC)ccc2c1=O,1604577_2168344_6660936,17,9
0.947,O=c1c2cc3c(cc2nc(C(O)O)n1CCNC1COC1)OCO3,3888941_82488584_6660936,17,9
0.947,CC(=O)Nc1ccc2nc([C@@H](O)CCO)n(-c3ncn(CCO)n3)c(=O)c2c1,4640612_19088805_2559503,17,9
0.947,NC(=O)N[C@H](CO)c1nc2ccc3cn[nH]c3c2c(=O)n1CCN1CCNC1=O,112588_164791_2522564,17,9
0.947,Cn1nnc([C@H](O)Cn2c(C(O)O)nc3nc4ncnn4cc3c2=O)n1,211735994_1225225_6660936,17,9
0.947,O=C(CO)n1c([C@@H](O)CCO)nc2cc3c(cc2c1=O)OCO3,3888941_4692578_2559503,17,9
0.946,COC(=O)CNC(=O)Cn1c(C(O)O)nc2c(OC)cccc2c1=O,389612_2168344_6660936,17,9
0.946,CC(=O)Nc1ccc2nc([C@@H](O)CCO)n(C3CN(CCO)C3)c(=O)c2c1,4640612_82601602_2559503,17,9
0.945,CC(=O)Nc1ccc2nc(CNC(N)=O)n(CCN3CCNC3=O)c(=O)c2c1,4640612_164791_1464311,17,9
0.945,COC(=O)c1ccc2nc(C(O)O)n(CCN3CCNC3=O)c(=O)c2c1,14985552_164791_6660936,17,9
0.945,COC(=O)CNC(=O)Cn1c(C(O)O)nc2cncnc2c1=O,11804330_2168344_6660936,17,9
0.945,CNC(=S)NC(=N)n1c([C@@H](O)CCO)nc2ccc(C(=O)OC)cc2c1=O,14985552_33691246_2559503,17,9
0.944,COC(=O)c1ccc2nc(C(O)O)n(CCNC3COC3)c(=O)c2c1,14985552_82488584_6660936,17,9
0.944,COC(=O)CNC(=O)Cn1c(C(O)O)nc2cnc(C)cc2c1=O,39066258_2168344_6660936,17,9
0.944,COC(=O)CNC(=O)Cn1c(C(O)O)nc2nscc2c1=O,22861807_2168344_6660936,17,9
0.944,COC(=O)CNC(=O)Cn1c(C(O)O)nc2nnccc2c1=O,4202687_2168344_6660936,17,9
0.944,COc1ccc2nc([C@@H](O)CCO)n(C(=O)NCCO)c(=O)c2c1,1715572_1587868_2559503,17,9
0.943,COC(=O)CNC(=O)Cn1c(C(O)O)nc2nccnc2c1=O,967253_2168344_6660936,17,9
0.943,COC(=O)CNC(=O)Cn1c(C(O)O)nc2ncc(C)cc2c1=O,26441149_2168344_6660936,17,9
0.943,COC(=O)CNC(=O)Cn1c(C(O)O)nc2ncc(OC)nc2c1=O,95757573_2168344_6660936,17,9
0.942,O=C(O)[C@H](CO)NC(=O)n1c([C@@H](O)CCO)nc2nc3ncnn3cc2c1=O,211735994_2626461_2559503,17,9
0.942,NC[C@H](O)c1nc2ccc3cn[nH]c3c2c(=O)n1C(=O)CN1CCOCC1,112588_20436848_2034711,17,9
0.942,O=CNCc1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_1733657,17,9
0.942,COC(=O)CNC(=O)Cn1c(C(O)O)nc2ccnnc2c1=O,19854095_2168344_6660936,17,9
0.941,CS(=O)(=O)CC(=O)n1c(C(O)O)nc2cc3c(cc2c1=O)OCO3,3888941_2165154_6660936,17,9
0.941,COC(=O)CNC(=O)Cn1c(C(O)O)nc2c(=O)[nH]c(=O)[nH]c2c1=O,1861052_2168344_6660936,17,9
0.94,Cn1nnc([C@H](O)Cn2c(C(O)O)nc3c(C(=O)O)cccc3c2=O)n1,153908_1225225_6660936,17,9
0.94,COc1cccc2c(=O)n(C[C@@H](O)c3nnn(C)n3)c(C(O)O)nc12,389612_1225225_6660936,17,9
0.94,O=C([C@@H]1CNCCO1)n1c(C(O)O)nc2cc3c(cc2c1=O)OCO3,3888941_19686020_6660936,17,9
0.94,COC(=O)CNC(=O)Cn1c(C(O)O)nc2ccccc2c1=O,47985_2168344_6660936,17,9
0.939,O=C([C@H]1CCN1)n1c([C@H](O)[C@@H](O)CO)nc2cc3c(cc2c1=O)OCO3,3888941_13375224_901061,17,9
0.939,O=CNCc1nc2ccc3cn[nH]c3c2c(=O)n1C(=O)CN1CCOCC1,112588_20436848_1733657,17,9
0.939,N#Cc1cc2c(=O)n(C3CN(CCO)C3)c([C@@H](O)CCO)nc2[nH]c1=O,3888503_82601602_2559503,17,9
0.939,COc1ccc2nc([C@@H](O)CCO)n(CC3(O)COC3)c(=O)c2c1,1715572_74938389_2559503,17,9
0.939,CC(=O)Nc1ccc2nc([C@@H](CO)NC(C)=O)n(CCN3CCNC3=O)c(=O)c2c1,4640612_164791_158174,17,9
0.938,COC(=O)CNC(=O)Cn1c(C(O)O)nc2cc(OC)ncc2c1=O,95635282_2168344_6660936,17,9
0.938,COC(=O)CNC(=O)Cn1c(C(O)O)nc2cn(C)nc2c1=O,2534276_2168344_6660936,17,9
0.938,N=C(NCCO)n1c(C(O)O)nc2cc3c(cc2c1=O)OCO3,3888941_1652056_6660936,17,9
0.938,O=c1c2cc3c(cc2nc(C(O)O)n1-c1ncn(CCO)n1)OCO3,3888941_19088805_6660936,17,9
0.938,COC(=O)c1ccc2nc([C@@H](O)CCO)n(CCN3CCNC3=O)c(=O)c2c1,14985552_164791_2559503,17,9
0.937,N=C(CN1CC[C@H](O)C1)n1c([C@@H](O)CN)nc2cc3c(cc2c1=O)OCO3,3888941_203414649_2034711,17,9
0.937,N#Cc1cc2c(=O)n(C(=O)NCCO)c([C@@H](O)CCO)nc2[nH]c1=O,3888503_1587868_2559503,17,9
0.937,O=C(NCCO)n1c([C@@H](O)CCO)nc2ccc3cn[nH]c3c2c1=O,112588_1587868_2559503,17,9
0.937,COC(=O)CNC(=O)Cn1c(C(O)O)nc2cc(N)ncc2c1=O,39066342_2168344_6660936,17,9
0.936,N=C(CN1CC[C@H](O)C1)n1c(C(O)O)nc2ccc3cn[nH]c3c2c1=O,112588_203414649_6660936,17,9
0.936,NC[C@H](O)c1nc2ccc3cn[nH]c3c2c(=O)n1CCN1CCNC1=O,112588_164791_2034711,17,9
0.936,COC(=O)CNC(=O)Cn1c(C(O)O)nc2nn(C)cc2c1=O,35937644_2168344_6660936,17,9
0.936,O=C(CN1CCOCC1)n1c([C@@H](O)CCO)nc2cc3c(cc2c1=O)OCO3,3888941_20436848_2559503,17,9
0.936,O=c1c2cc3c(cc2nc(C(O)O)n1CC[C@@H](O)CO)OCO3,3888941_34273814_6660936,17,9
0.936,O=c1c2cn3ncnc3nc2nc([C@@H](O)CCO)n1[C@@H]1CC[C@@H](O)[C@@H]1O,211735994_34071169_2559503,17,9
0.936,O=c1c2cc3c(cc2nc([C@H](O)[C@@H](O)CO)n1[C@@H]1C[C@@H](O)[C@@H](O)C1)OCO3,3888941_146501451_901061,17,9
0.936,COC(=O)CNC(=O)Cn1c(C(O)O)nc2c(cnn2C)c1=O,19850925_2168344_6660936,17,9
0.936,O=c1c2cn3ncnc3nc2nc([C@@H](O)CCO)n1[C@@H]1COC[C@H]1O,211735994_12957829_2559503,17,9
0.936,Cn1nnc([C@H](O)Cn2c([C@@H](O)CCO)nc3ccc4cn[nH]c4c3c2=O)n1,112588_1225225_2559503,17,9
0.936,COC(=O)C(C(=O)OC)n1c([C@@H](O)CCO)nc2cc3c(cc2c1=O)OCO3,3888941_36532919_2559503,17,9
